album,song
The Taylor Swift Holiday Collection,Christmas Must Be Something More
The Taylor Swift Holiday Collection,White Christmas
Beautiful Eyes,Beautiful Eyes
Beautiful Eyes,Should've Said No  -  Alternate version
Beautiful Eyes,Teardrops On My Guitar  -  Acoustic version
Beautiful Eyes,Picture To Burn  -  Radio edit
Beautiful Eyes,I'm Only Me When I'm with You
Beautiful Eyes,I Heart ?
Speak Now World Tour – Live,Sparks Fly
Speak Now World Tour – Live,Mine
Speak Now World Tour – Live,Story of Us
Speak Now World Tour – Live,Mean
Speak Now World Tour – Live,Ours
Speak Now World Tour – Live,Back to December/Apologize/You're Not Sorry
Speak Now World Tour – Live,Better Than Revenge
Speak Now World Tour – Live,Speak Now
Speak Now World Tour – Live,Last Kiss
Speak Now World Tour – Live,Drops of Jupiter
Speak Now World Tour – Live,Bette Davis Eyes
Speak Now World Tour – Live,I Want You Back
Speak Now World Tour – Live,Dear John
Speak Now World Tour – Live,Enchanted
Speak Now World Tour – Live,Haunted
Speak Now World Tour – Live,Long Live
Folklore: The Long Pond Studio Sessions (From the Disney+ Special),The 1
Folklore: The Long Pond Studio Sessions (From the Disney+ Special),Cardigan
Folklore: The Long Pond Studio Sessions (From the Disney+ Special),The Last Great American Dynasty
Folklore: The Long Pond Studio Sessions (From the Disney+ Special),Exile
Folklore: The Long Pond Studio Sessions (From the Disney+ Special),My Tears Ricochet
Folklore: The Long Pond Studio Sessions (From the Disney+ Special),Mirrorball
Folklore: The Long Pond Studio Sessions (From the Disney+ Special),Seven
Folklore: The Long Pond Studio Sessions (From the Disney+ Special),August
Folklore: The Long Pond Studio Sessions (From the Disney+ Special),This Is Me Trying
Folklore: The Long Pond Studio Sessions (From the Disney+ Special),Illicit Affairs
Folklore: The Long Pond Studio Sessions (From the Disney+ Special),Invisible String
Folklore: The Long Pond Studio Sessions (From the Disney+ Special),Mad Woman
Folklore: The Long Pond Studio Sessions (From the Disney+ Special),Epiphany
Folklore: The Long Pond Studio Sessions (From the Disney+ Special),Betty
Folklore: The Long Pond Studio Sessions (From the Disney+ Special),Peace
Folklore: The Long Pond Studio Sessions (From the Disney+ Special),Hoax
Folklore: The Long Pond Studio Sessions (From the Disney+ Special),The Lakes
